x_m,y_m,w_tr_right_m,w_tr_left_m
-0.196054,2.984789,0.4009,0.3832
-0.174625,2.934789,0.3982,0.3844
-0.152624,2.884789,0.3952,0.3728
-0.131523,2.834789,0.3918,0.3698
-0.111075,2.784789,0.3953,0.3753
-0.091036,2.734789,0.4052,0.3786
-0.071160,2.684789,0.4014,0.3839
-0.051202,2.634789,0.3964,0.3879
-0.028123,2.584789,0.3949,0.3879
-0.008819,2.534789,0.3899,0.3788
0.014260,2.484789,0.3879,0.3737
0.034218,2.434789,0.3839,0.3793
0.054094,2.384789,0.3786,0.3830
0.074133,2.334789,0.3753,0.3857
0.094581,2.284789,0.3698,0.3755
0.118477,2.234789,0.3755,0.3698
0.138925,2.184789,0.3857,0.3753
0.158964,2.134789,0.3830,0.3786
0.178840,2.084789,0.3793,0.3839
0.198798,2.034789,0.3737,0.3879
0.221877,1.984789,0.3734,0.3879
0.241181,1.934789,0.3667,0.3788
0.264260,1.884789,0.3670,0.3737
0.304094,1.784789,0.3585,0.3830
0.324133,1.734789,0.3512,0.3857
0.344581,1.684789,0.3525,0.3755
0.368477,1.634789,0.3654,0.3698
0.388925,1.584789,0.3647,0.3753
0.408964,1.534789,0.3626,0.3786
0.428840,1.484789,0.3555,0.3839
0.448798,1.434789,0.3541,0.3879
0.469082,1.384789,0.3467,0.3907
0.487144,1.334789,0.3446,0.3827
0.507575,1.281994,0.3351,0.3809
0.527663,1.227957,0.3329,0.3885
0.547327,1.174067,0.3224,0.3935
0.570831,1.121549,0.3261,0.3977
0.595136,1.071468,0.3406,0.3966
0.624345,1.024720,0.3473,0.3930
0.655254,0.979248,0.3564,0.3951
0.687291,0.939970,0.3654,0.3993
0.724231,0.907133,0.3875,0.3960
0.762544,0.880817,0.4064,0.3898
0.805843,0.858146,0.4353,0.3834
